WEAPON_FOUND_FLAG,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,LOCATION_IN_OUT_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECT_REPORTED_AGE,SUSPECT_SEX,suspect_race_generalized,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_BORO_NAME,precinct_2020,pct_black_precinct,is_dominant_race_p,total_pop,black,white,hisp_latino,other,stop_patrol_boro,pct_black_boro,OBSERVED_DURATION_MIN,obs_duration_min_bin,suspect_height_bin,suspect_age_bin
0,2017-01-01,4:25:00 AM,2017,January,Sunday,Based on Radio Run,O,PSB,1.0,22.0,MALE,black,6.4,210.0,THN,QUEENS,115,0.0798479973889122,0,171576.0,13700.0,66142.0,110108.0,91734.0,PBQN,0.052,1.0,1,very_tall,young_adult
1,2017-01-01,12:05:00 AM,2017,January,Sunday,Based on Self Initiated,O,PSB,1.0,31.0,MALE,black,5.11,180.0,THN,BRONX,49,0.2490585117511681,0,114712.0,28570.0,50305.0,48721.0,35837.0,PBBX,0.363,1.0,1,very_short,adult
0,2017-01-01,2:05:00 AM,2017,January,Sunday,Based on Radio Run,O,Housing,1.0,23.0,MALE,black,5.11,190.0,MED,BROOKLYN,60,0.14382707761944033,0,104278.0,14998.0,66276.0,17423.0,23004.0,PBBS,0.276,1.0,1,very_short,young_adult
0,2017-01-01,4:25:00 AM,2017,January,Sunday,Based on Radio Run,O,PSB,1.0,22.0,MALE,black,6.3,200.0,THN,QUEENS,115,0.0798479973889122,0,171576.0,13700.0,66142.0,110108.0,91734.0,PBQN,0.052,1.0,1,very_tall,young_adult
0,2017-01-01,2:05:00 AM,2017,January,Sunday,Based on Radio Run,O,Housing,1.0,26.0,MALE,black,5.8,270.0,HEA,BROOKLYN,60,0.14382707761944033,0,104278.0,14998.0,66276.0,17423.0,23004.0,PBBS,0.276,1.0,1,medium,adult
0,2017-01-01,2:05:00 AM,2017,January,Sunday,Based on Radio Run,O,Housing,1.0,18.0,MALE,black,5.0,230.0,HEA,BROOKLYN,60,0.14382707761944033,0,104278.0,14998.0,66276.0,17423.0,23004.0,PBBS,0.276,1.0,1,very_short,young_adult
0,2017-01-01,9:00:00 AM,2017,January,Sunday,Based on Radio Run,I,PSB,1.0,49.0,MALE,black,5.1,180.0,MED,BROOKLYN,77,0.7218328484527903,1,90744.0,65502.0,15454.0,10759.0,9788.0,PBBN,0.464,1.0,1,very_short,middle_age
0,2017-01-01,12:47:00 PM,2017,January,Sunday,Based on Radio Run,O,PSB,1.0,64.0,MALE,black,5.1,170.0,MED,MANHATTAN,19,0.02576119159316044,0,208259.0,5365.0,178395.0,13827.0,24499.0,PBMN,0.217,1.0,1,very_short,senior
1,2017-01-02,10:30:00 AM,2017,January,Monday,Based on Radio Run,S,Transit,1.0,34.0,MALE,black,5.11,170.0,MED,MANHATTAN,13,0.05194361384023921,0,93640.0,4864.0,70786.0,8565.0,17990.0,PBMS,0.056,1.0,1,very_short,adult
1,2017-01-02,10:30:00 AM,2017,January,Monday,Based on Radio Run,S,Transit,1.0,31.0,MALE,hisp_latino,5.8,150.0,THN,MANHATTAN,13,0.05194361384023921,0,93640.0,4864.0,70786.0,8565.0,17990.0,PBMS,0.056,1.0,1,medium,adult
0,2017-01-03,8:52:00 PM,2017,January,Tuesday,Based on Radio Run,O,PSB,2.0,19.0,MALE,black,5.6,120.0,THN,QUEENS,113,0.8736473212799254,1,120132.0,104953.0,3036.0,9783.0,12143.0,PBQS,0.388,2.0,2,short,young_adult
1,2017-01-03,12:30:00 PM,2017,January,Tuesday,Based on Self Initiated,S,Transit,1.0,19.0,MALE,hisp_latino,5.7,140.0,THN,MANHATTAN,13,0.05194361384023921,0,93640.0,4864.0,70786.0,8565.0,17990.0,PBMS,0.056,1.0,1,medium,young_adult
0,2017-01-03,7:41:00 PM,2017,January,Tuesday,Based on Radio Run,I,Housing,1.0,25.0,MALE,black,5.9,180.0,MED,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,1.0,1,tall,adult
0,2017-01-03,3:15:00 PM,2017,January,Tuesday,Based on Self Initiated,I,PSB,2.0,39.0,MALE,hisp_latino,5.9,165.0,THN,STATEN ISLAND,123,0.014270850334584625,0,98032.0,1399.0,89264.0,7982.0,7369.0,PBSI,0.106,2.0,2,tall,middle_age
0,2017-01-04,5:00:00 PM,2017,January,Wednesday,Based on Radio Run,I,PSB,1.0,16.0,MALE,black,5.11,145.0,MED,QUEENS,101,0.5258033251323343,1,67065.0,35263.0,19193.0,16941.0,12609.0,PBQS,0.388,1.0,1,very_short,juvenile
0,2017-01-04,2:44:00 PM,2017,January,Wednesday,Based on Radio Run,O,PSB,1.0,17.0,MALE,black,6.0,180.0,THN,STATEN ISLAND,120,0.25107072065694463,0,113008.0,28373.0,58854.0,29914.0,25781.0,PBSI,0.106,1.0,1,tall,juvenile
0,2017-01-04,5:00:00 PM,2017,January,Wednesday,Based on Radio Run,I,PSB,1.0,21.0,MALE,black,5.9,150.0,MED,QUEENS,101,0.5258033251323343,1,67065.0,35263.0,19193.0,16941.0,12609.0,PBQS,0.388,1.0,1,tall,young_adult
0,2017-01-04,5:00:00 PM,2017,January,Wednesday,Based on Radio Run,I,PSB,1.0,16.0,MALE,black,6.0,150.0,MED,QUEENS,101,0.5258033251323343,1,67065.0,35263.0,19193.0,16941.0,12609.0,PBQS,0.388,1.0,1,tall,juvenile
